,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
347,Census Tract 6605,0.395,31415.0,185300.0,17,031,660500,Census Tract 6605,0.0,24.0,6.0,0.0,6360.436031946185,0.8237296903761945,0.0,0.050658335193037266,0.20263334077214906,0.06962731533139924,0.18726171787396279,0.9053133514986376
348,Census Tract 6112,0.3927,29861.0,121400.0,17,031,611200,Census Tract 6112,0.0,16.0,4.0,0.0,6904.113655717059,0.6688012441449052,1.3440018047448685,0.04581850533807829,0.23443060498220641,0.04092526690391459,0.36794582392776526,0.9107344632768362
349,Census Tract 6606,0.4181,29923.0,161200.0,17,031,660600,Census Tract 6606,0.0,24.0,12.0,2.0,33781.6718870645,0.5834912375461637,4.202807149775744,0.022689231913706528,0.21591965780174818,0.0868514041286963,0.26030206973708747,0.8558476881233001
350,Census Tract 6607,0.4305,24545.0,97700.0,17,031,660700,Census Tract 6607,0.0,14.0,7.0,0.0,2069.469428221336,0.5002873604141659,0.0,0.04065573770491803,0.18491803278688523,0.09180327868852459,0.40524590163934426,0.8310626702997275
351,Census Tract 6608,0.3702,48859.0,156500.0,17,031,660800,Census Tract 6608,0.0,16.0,4.0,0.0,9554.56540033732,0.5234965388927059,2.1614511782896617,0.0852262402326004,0.23496274759222244,0.05887697619480284,0.27090178897407813,0.8343634116192831
352,Census Tract 6609,0.4328,39016.0,175000.0,17,031,660900,Census Tract 6609,0.0,52.0,79.0,1.0,7529.077123783121,0.47105765964881713,0.0,0.0358386237968462,0.2160557034609871,0.07515871390538603,0.24104034405078845,0.7995712754555199
353,Census Tract 6610,0.5139,34674.0,157400.0,17,031,661000,Census Tract 6610,0.0,24.0,17.0,0.0,11755.80825936565,0.47326561721501886,2.3508405269845367,0.07870695713281799,0.18183415319747012,0.10910049191848208,0.26985242445537594,0.8749480681346073
354,Census Tract 6611,0.4044,53500.0,158800.0,17,031,661100,Census Tract 6611,0.0,22.0,0.0,0.0,12966.52288087428,0.555782792384661,3.4959261636640693,0.059003051881993895,0.26769364917889843,0.05435256503415201,0.1435852628513179,0.9622245540398741
355,Census Tract 6701,0.5171,24625.0,161600.0,17,031,670100,Census Tract 6701,0.0,18.0,1.0,0.0,2959.16661280038,0.4941245625177358,0.0,0.065439672801636,0.24233128834355827,0.12269938650306748,0.43660531697341515,0.6841186736474695
356,Census Tract 6702,0.7395,26563.0,114100.0,17,031,670200,Census Tract 6702,0.0,12.0,1.0,2.0,405.6999464738823,0.4798819458056058,0.0,0.0711340206185567,0.177319587628866,0.12164948453608247,0.43626943005181346,0.7663043478260869
