,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
23,Census Tract 88.03,0.4633,60819.0,374300.0,11,001,008803,Census Tract 88.03,7.0,6.0,133.0,4.003048976742351,18.0,10935.60569626786,0.4037539447536678,7.470987351736425,0.17209715639810427,0.39395734597156395,0.06842417061611375,0.3760299625468165,0.8117338003502627
24,Census Tract 88.04,0.4443,65486.0,450500.0,11,001,008804,Census Tract 88.04,0.0,0.0,14.0,4.848842367770214,61.0,15910.793477269423,0.4351624155370093,14.193445243005524,0.23015001829491402,0.2645444566410538,0.03695572630808635,0.22497229405245658,0.841875
25,Census Tract 89.03,0.3515,68248.0,433600.0,11,001,008903,Census Tract 89.03,0.0,0.0,5.0,5.069902694765644,33.0,2709.615701300058,0.4446213882267639,2.0941702358325913,0.33062330623306235,0.2911773562180066,0.10358325805480277,0.18879855465221318,0.856160458452722
26,Census Tract 89.04,0.463,47694.0,549500.0,11,001,008904,Census Tract 89.04,0.0,0.0,16.0,5.310536720781298,19.0,19785.764857277045,0.4557222628651641,7.0104908195904825,0.2277031490861044,0.30786170447038097,0.04668575203699626,0.2294648755780665,0.9045499505440159
27,Census Tract 90,0.4695,54111.0,458800.0,11,001,009000,Census Tract 90,0.0,0.0,39.0,7.491159842569521,8.0,16296.73890829463,0.45110665857860727,11.638844897100272,0.32724867724867723,0.06111111111111111,0.01164021164021164,0.10317460317460317,0.951176983435048
28,Census Tract 91.02,0.5244,43697.0,517100.0,11,001,009102,Census Tract 91.02,2.0,14.0,53.0,4.5119461664778004,33.0,7144.744613797651,0.4381727719398243,1.6183728258659626,0.25386406944738515,0.27503705272072837,0.05441456701249206,0.31781290046988464,0.8864734299516909
29,Census Tract 92.01,0.4856,92000.0,710200.0,11,001,009201,Census Tract 92.01,0.0,0.0,41.0,4.391017044571436,7.0,3135.268854501693,0.37204038903275793,10.085575287668682,0.4388753056234719,0.40495110024449876,0.05287286063569682,0.24906303236797275,0.8357305071915215
30,Census Tract 92.03,0.4399,87598.0,598700.0,11,001,009203,Census Tract 92.03,0.0,4.0,4.0,3.4679601242895415,31.0,9549.015344423935,0.4133720739522375,9.387721920194647,0.3809228863425209,0.36481882935893467,0.05481573242489935,0.14555589965933727,0.9825834542815675
31,Census Tract 92.04,0.5149,36132.0,422700.0,11,001,009204,Census Tract 92.04,0.0,0.0,26.0,4.035185544899867,6.0,21941.32852847894,0.4599693693023666,0.15274121229733165,0.1329249617151608,0.25819295558958655,0.04839203675344564,0.3316998468606432,0.9696750902527076
32,Census Tract 93.01,0.388,149350.0,656700.0,11,001,009301,Census Tract 93.01,0.0,22.0,43.0,5.380521437468537,15.0,2209.192751682982,0.3576732487774201,5.635873022476451,0.5014860848419346,0.18778708457173737,0.025938935422858685,0.10051337476357741,0.9508990318118948
33,Census Tract 93.02,0.4909,91576.0,676600.0,11,001,009302,Census Tract 93.02,0.0,2.0,16.0,4.714560768089411,18.0,4119.361508862471,0.42125363580635655,2.192678217448089,0.4100119189511323,0.29856972586412395,0.04767580452920143,0.12157330154946365,0.9763231197771588
34,Census Tract 94,0.4252,120824.0,557800.0,11,001,009400,Census Tract 94,0.0,0.0,30.0,6.64096895712365,18.0,18970.02792352205,0.3928951584518066,12.059164197457148,0.38465627214741316,0.19844082211197733,0.0336640680368533,0.07245080500894455,0.9383599339570721
35,Census Tract 95.03,0.4116,106125.0,580600.0,11,001,009503,Census Tract 95.03,0.0,6.0,28.0,6.452382041353378,18.0,4449.941485934285,0.41177640623905704,10.12109304280346,0.39228295819935693,0.16366559485530546,0.03215434083601286,0.04609349460608042,0.8736669401148482
36,Census Tract 95.04,0.4547,113958.0,584900.0,11,001,009504,Census Tract 95.04,0.0,0.0,38.0,5.734172695941991,17.0,3480.265244633977,0.35728171663525254,14.70262439405736,0.4677160295534854,0.2258271763572117,0.061034371988435594,0.11938739993038636,0.9044684129429892
37,Census Tract 95.05,0.4409,82169.0,460600.0,11,001,009505,Census Tract 95.05,0.0,2.0,22.0,7.202611782665668,29.0,12543.927989710717,0.43030506834996024,2.8400075293482487,0.32300998208344,0.296902994625032,0.060148451497312516,0.07115433836703353,0.8519585253456221
38,Census Tract 95.07,0.4997,72880.0,441000.0,11,001,009507,Census Tract 95.07,0.0,0.0,8.0,7.138046087780051,7.0,6219.348037911967,0.4784514145139422,0.7590982260318783,0.19745897300158813,0.22710428798305982,0.059290629962943354,0.22657490735839067,0.9498381877022654
39,Census Tract 95.08,0.4967,58250.0,446400.0,11,001,009508,Census Tract 95.08,0.0,24.0,10.0,6.632004877026427,25.0,10675.521192151971,0.4590832963110917,5.259816095214434,0.22864812103465104,0.1490971205466081,0.013909224011713031,0.13201561737432893,0.8414772727272727
40,Census Tract 95.09,0.3381,86042.0,462400.0,11,001,009509,Census Tract 95.09,0.0,4.0,8.0,6.371628411648496,16.0,5681.214359816255,0.4489751417357174,0.0,0.2727272727272727,0.17202797202797201,0.02041958041958042,0.025734265734265734,1.0
41,Census Tract 95.10,0.4615,51183.0,355100.0,11,001,009510,Census Tract 95.10,0.0,2.0,20.0,5.578129325349353,14.0,13787.63527956416,0.48140704230492787,1.3679051925473782,0.13619119878603944,0.27921092564491656,0.03148710166919575,0.11323975720789074,0.9285312324141812
43,Census Tract 96.01,0.5993,33098.0,356700.0,11,001,009601,Census Tract 96.01,0.0,0.0,12.0,7.992151389882469,10.0,5434.448798027537,0.4851626968492379,7.103123929320437,0.14676715589051964,0.2697342324474415,0.1297104323681079,0.2577278201525492,0.932092004381161
44,Census Tract 96.02,0.5675,22813.0,388700.0,11,001,009602,Census Tract 96.02,0.0,2.0,3.0,7.152283988136049,8.0,4200.03040062597,0.4927803385932454,17.528337137302103,0.1067360079247152,0.3122833085685983,0.13026250619118376,0.3686303753417847,0.9591194968553459
45,Census Tract 96.03,0.4872,49054.0,296200.0,11,001,009603,Census Tract 96.03,0.0,0.0,50.0,7.715405046859306,17.0,10504.175500940675,0.4651978046277975,1.026893761031637,0.11345707656612529,0.18607888631090488,0.09582366589327146,0.1925754060324826,0.9471656576774904
46,Census Tract 96.04,0.3933,72872.0,256200.0,11,001,009604,Census Tract 96.04,0.0,0.0,8.0,6.807434023689672,15.0,7874.744727925749,0.4829229131145307,11.119360266751737,0.15865384615384615,0.2828525641025641,0.054086538461538464,0.08699220352892902,0.946590909090909
48,Census Tract 98.01,0.4859,13510.0,269800.0,11,001,009801,Census Tract 98.01,0.0,0.0,2.0,8.403401927138034,3.0,3387.6571153981927,0.490100593608929,0.0,0.03988326848249027,0.22811284046692606,0.09046692607003891,0.5262645914396887,0.9216757741347905
49,Census Tract 98.02,0.4198,54432.0,308500.0,11,001,009802,Census Tract 98.02,0.0,0.0,0.0,8.711352670330156,4.0,2216.2560804057184,0.493343783719944,0.0,0.12355769230769231,0.22788461538461538,0.10096153846153846,0.37740384615384615,0.8868821292775665
50,Census Tract 98.03,0.674,29000.0,378200.0,11,001,009803,Census Tract 98.03,0.0,0.0,5.0,7.950193275311573,10.0,1153.8832875577355,0.48702875613391616,0.0,0.0507453219156359,0.2261338407865525,0.0922930542340628,0.35077703774183316,0.8993377483443709
51,Census Tract 98.04,0.4165,43017.0,325000.0,11,001,009804,Census Tract 98.04,0.0,0.0,10.0,7.761022567086529,10.0,1938.5576473988356,0.47483353227217795,3.5035957360686583,0.09883502442690718,0.22284855317549793,0.08380308154829012,0.1984216459977452,0.8878504672897196
52,Census Tract 98.07,0.5738,55000.0,262500.0,11,001,009807,Census Tract 98.07,0.0,0.0,6.0,8.47292031892689,14.0,2470.4017915425034,0.451119478580813,0.0,0.14058053500284576,0.1485486624928856,0.058622652248150255,0.18773503037315592,0.8885057471264368
53,Census Tract 98.10,0.3454,47630.0,559000.0,11,001,009810,Census Tract 98.10,0.0,0.0,0.0,8.850483566683229,0.0,15923.734200654577,0.45913573568087984,0.0,0.045454545454545456,0.24581818181818182,0.09927272727272728,0.21818181818181817,0.9933035714285714
54,Census Tract 98.11,0.5885,34275.0,293300.0,11,001,009811,Census Tract 98.11,0.0,0.0,4.0,9.075582937103743,10.0,10104.296748755205,0.48659534699207896,0.0,0.030200585981519045,0.21861618210502592,0.10480054090601758,0.3378408834798287,0.8361303060217177
55,Census Tract 99.01,0.4154,104816.0,513400.0,11,001,009901,Census Tract 99.01,0.0,0.0,23.0,7.577269525192334,4.0,9151.595610473756,0.41232134027098316,17.3949475879932,0.416733708769107,0.17055510860820594,0.008045052292839904,0.057924376508447305,0.8718190386427899
56,Census Tract 99.02,0.4162,87401.0,277100.0,11,001,009902,Census Tract 99.02,0.0,0.0,7.0,8.57833963658589,11.0,1925.823271971822,0.4868754708369149,4.870846689341566,0.1190271816881259,0.17024320457796852,0.05464949928469242,0.1393748207628334,0.9112252384446075
57,Census Tract 99.03,0.4329,61172.0,353200.0,11,001,009903,Census Tract 99.03,0.0,0.0,2.0,10.018698659172772,13.0,3351.800400368058,0.4622566326299615,0.0,0.17741305197342713,0.3305978898007034,0.1910902696365768,0.10011778563015312,0.8453188602442334
58,Census Tract 99.04,0.5132,48125.0,312000.0,11,001,009904,Census Tract 99.04,0.0,0.0,9.0,9.240278558482336,9.0,6875.612290782943,0.45562873924576114,0.0,0.11066084788029926,0.19887780548628428,0.04551122194513716,0.315723663644889,0.8775181305398871
59,Census Tract 99.05,0.6135,50037.0,330700.0,11,001,009905,Census Tract 99.05,0.0,0.0,2.0,9.769200522976577,11.0,8996.998155922696,0.46473312636960096,0.0,0.11828344752975117,0.18103137396321672,0.07681211684096646,0.36965966690803764,0.8921644685802949
60,Census Tract 99.06,0.4658,36938.0,261300.0,11,001,009906,Census Tract 99.06,0.0,0.0,9.0,8.781437325924827,9.0,3974.2264816616566,0.4689349167798988,1.707017367584249,0.19516407599309155,0.24179620034542315,0.08232584916522741,0.20552677029360966,0.9129032258064517
61,Census Tract 99.07,0.4777,37000.0,306100.0,11,001,009907,Census Tract 99.07,0.0,0.0,2.0,8.657294330403118,7.0,1910.322683478536,0.49854866073717335,0.0,0.09585316111488783,0.29231815091774305,0.07477906186267845,0.29802452316076294,0.9226467847157502
62,Census Tract 101,0.4627,120483.0,528800.0,11,001,010100,Census Tract 101,30.0,48.0,320.0,0.414007361586557,64.0,3112.7207178431663,0.39451888494858434,19.65650254052198,0.7291741795888929,0.5218175261449693,0.0288496213487198,0.11147781444811147,0.9143927233814875
63,Census Tract 102.01,0.3995,85648.0,568500.0,11,001,010201,Census Tract 102.01,0.0,10.0,20.0,3.162422596903533,11.0,8217.459251913002,0.38517449449548063,6.211475966758154,0.7283413147583805,0.4497170222028733,0.03569873748367436,0.05180670439703962,0.8415359653866955
64,Census Tract 102.02,0.4944,100333.0,672600.0,11,001,010202,Census Tract 102.02,13.0,32.0,188.0,2.4225136330355683,17.0,2806.5836305422154,0.37073230036556326,3.9945491080581554,0.5934387814879907,0.3175161101347393,0.0,0.06046235921754594,0.9294871794871795
65,Census Tract 103,0.4476,95313.0,576700.0,11,001,010300,Census Tract 103,0.0,12.0,65.0,8.276389572360975,11.0,15593.55325970613,0.43096980935649687,6.8891242950625395,0.35369850187265917,0.1601123595505618,0.019194756554307114,0.11280705938468877,0.9594972067039106
66,Census Tract 104,0.4397,80474.0,294100.0,11,001,010400,Census Tract 104,0.0,2.0,20.0,6.797598999402247,19.0,7710.717114090478,0.45480732933765766,2.1158069648472297,0.12992992992992994,0.1991991991991992,0.09229229229229229,0.2433655626414318,0.9221607826456827
67,Census Tract 105,0.4211,92083.0,432000.0,11,001,010500,Census Tract 105,6.0,12.0,30.0,3.050956372365307,12.0,23287.26235880927,0.378035820803255,16.736205265476134,0.6310160427807486,0.37203972498090143,0.010185892538833716,0.20091673032849502,0.9497132774591972
69,Census Tract 106.02,0.4088,150614.0,677800.0,11,001,010602,Census Tract 106.02,1.0,14.0,87.0,3.1983887872806753,100.0,28224.3940888033,0.3696858264488291,15.208280326809431,0.6305587229190421,0.3922462941847206,0.0032307107563664004,0.12143671607753706,0.8420664206642067
71,Census Tract 107,0.4027,89570.0,587300.0,11,001,010700,Census Tract 107,30.0,88.0,702.0,0.4739228946827151,78.0,2357.8934809990837,0.4212023242549367,10.673162508956754,0.649548532731377,0.6834085778781038,0.0327313769751693,0.13650030066145522,0.8834310850439883
74,Census Tract 110.01,0.3641,115114.0,353100.0,11,001,011001,Census Tract 110.01,0.0,6.0,2.0,3.6431022748761066,7.0,4123.571950366978,0.38698202977384766,10.939697088649307,0.7223880597014926,0.3995735607675906,0.0042643923240938165,0.04776119402985075,0.9700973574408901
75,Census Tract 110.02,0.4624,105182.0,387400.0,11,001,011002,Census Tract 110.02,0.0,0.0,6.0,4.187218376197487,3.0,746.8231147807999,0.39439804247517085,17.554146476987185,0.7414772727272727,0.20397727272727273,0.07386363636363637,0.06950934579439252,0.8644189383070301
76,Census Tract 111,0.5375,63625.0,508600.0,11,001,011100,Census Tract 111,7.0,2.0,99.0,6.242167027397267,41.0,55997.39026344664,0.4430877178376216,14.412812602676293,0.31643390089917733,0.24736942797015496,0.06696001530514635,0.1764234161988773,0.9190848214285714
78,Census Tract 1.01,0.4403,187839.0,699100.0,11,001,000101,Census Tract 1.01,0.0,0.0,15.0,1.6613623412211285,23.0,5688.016021544981,0.47541126275779394,11.706054730761426,0.78,0.2648,0.0144,0.044,0.8957345971563981
79,Census Tract 1.02,0.4754,184167.0,1556000.0,11,001,000102,Census Tract 1.02,11.0,38.0,372.0,2.130098209153013,106.0,11498.5285133269,0.4691634144177537,6.2421535726158135,0.7980711271850512,0.18294153104279687,0.018083182640144666,0.056444310292785994,0.8840943301555444
81,Census Tract 2.02,0.4675,164261.0,1309100.0,11,001,000202,Census Tract 2.02,4.0,24.0,369.0,2.835012194600503,59.0,3871.9268701526526,0.4452888381437108,8.586510145047225,0.5566988210075027,0.32497320471596997,0.023794212218649517,0.13070996147495872,0.9176408076514346
