,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
172,Census Tract 1201.03,0.3908,188462.0,876000.0,25,025,120103,Census Tract 1201.03,0.0,10.0,53.0,12.0,1805.5186678879425,0.4574953435707777,6.903230268909715,0.6967488789237668,0.16704035874439463,0.01233183856502242,0.008968609865470852,0.9932885906040269
173,Census Tract 1201.04,0.4174,106929.0,583900.0,25,025,120104,Census Tract 1201.04,0.0,12.0,3.0,13.0,1792.369808742876,0.4504402873675119,9.731477424662504,0.5936599423631124,0.28200905722519554,0.022231370934540962,0.07451626183614657,0.9563279857397504
174,Census Tract 1201.05,0.4261,156875.0,859200.0,25,025,120105,Census Tract 1201.05,0.0,14.0,4.0,8.0,2100.07993885304,0.4274311699142371,10.882050976210238,0.5635294117647058,0.12196078431372549,0.02862745098039216,0.08940852819807428,0.9684106614017769
175,Census Tract 1202.01,0.54,91646.0,504300.0,25,025,120201,Census Tract 1202.01,0.0,24.0,41.0,12.0,5149.214832354849,0.391073752358644,8.064910508363498,0.5462544589774079,0.4090368608799049,0.023067776456599288,0.1248513674197384,0.9530583214793741
176,Census Tract 1203.01,0.3927,102835.0,570900.0,25,025,120301,Census Tract 1203.01,0.0,22.0,25.0,25.0,10536.71400521018,0.41111092631625373,10.796948831131079,0.4906832298136646,0.34413819875776397,0.025427018633540372,0.15055499495459132,0.9680601221230625
177,Census Tract 1204,0.4304,113065.0,676100.0,25,025,120400,Census Tract 1204,0.0,26.0,109.0,42.0,25363.074081300685,0.424419337847206,6.094333079109458,0.6578906851424172,0.292378752886836,0.024942263279445726,0.056847133757961785,0.985545335085414
179,Census Tract 1206,0.37,122071.0,687500.0,25,025,120600,Census Tract 1206,0.0,6.0,13.0,18.0,7157.342087646793,0.42343251873307886,8.83603498654159,0.6347305389221557,0.4438622754491018,0.008607784431137725,0.023952095808383235,0.9810017271157168
180,Census Tract 1207,0.368,101944.0,553500.0,25,025,120700,Census Tract 1207,0.0,16.0,9.0,9.0,25324.9556107587,0.4108040739203502,0.6005948658933266,0.5886556498436802,0.3363108530594015,0.014292094685127288,0.05493523894595802,0.938894277400582
181,Census Tract 1301.01,0.3155,130881.0,544500.0,25,025,130101,Census Tract 1301.01,0.0,82.0,12.0,10.0,23495.894997843377,0.42503672342075327,1.4795141818347801,0.5028215028215028,0.20775170775170776,0.031482031482031485,0.034523987445822746,0.9254473161033797
182,Census Tract 1302,0.4017,126659.0,617200.0,25,025,130200,Census Tract 1302,0.0,50.0,8.0,3.0,44174.940522600285,0.46604548629070197,4.907831023370881,0.5347648261758691,0.1719836400817996,0.025971370143149285,0.06979642708766098,0.9703703703703703
183,Census Tract 1303,0.416,132344.0,661500.0,25,025,130300,Census Tract 1303,0.0,48.0,9.0,5.0,8991.424702916453,0.4747270359497743,5.206335016618919,0.5429599640125956,0.18443544759334232,0.049257759784075573,0.021592442645074223,0.9244372990353698
184,Census Tract 1304.02,0.465,98102.0,542100.0,25,025,130402,Census Tract 1304.02,0.0,62.0,14.0,15.0,16127.582349584396,0.40967338774879464,2.6588639335415274,0.42844491675522495,0.2038611406305349,0.025150549061282324,0.03365214311016649,1.0
185,Census Tract 1304.04,0.438,77841.0,441900.0,25,025,130404,Census Tract 1304.04,0.0,52.0,23.0,7.0,4802.8309964127575,0.38517366806426906,1.6788951704247062,0.312021312021312,0.20013320013320013,0.02197802197802198,0.08524477918521055,0.9603746397694525
186,Census Tract 1304.06,0.4203,49488.0,494700.0,25,025,130406,Census Tract 1304.06,0.0,32.0,1.0,3.0,13833.03448065067,0.3927100498246621,1.0466511829316638,0.20588718960697253,0.17776681466864003,0.019898043085018913,0.1715280079549221,0.9590927501012556
187,Census Tract 1401.02,0.3951,102924.0,426600.0,25,025,140102,Census Tract 1401.02,0.0,100.0,7.0,1.0,54147.49730967698,0.39517630187613834,5.340367127753181,0.2303592917311329,0.20405707409317517,0.054495444387141136,0.07099879663056559,0.9757255936675462
188,Census Tract 1401.05,0.4271,86543.0,410000.0,25,025,140105,Census Tract 1401.05,0.0,40.0,5.0,3.0,27580.704562749743,0.43590130460533816,7.450143810096874,0.22254641909814324,0.17984084880636605,0.015649867374005304,0.09681697612732096,0.9627465303140978
189,Census Tract 1401.06,0.5451,38939.0,548800.0,25,025,140106,Census Tract 1401.06,0.0,6.0,2.0,1.0,3892.9435486682314,0.42800159358357104,2.400681668899403,0.14340918849291542,0.21768999570631173,0.036066981537140406,0.231859167024474,0.9228039041703638
190,Census Tract 1401.07,0.4125,78098.0,400000.0,25,025,140107,Census Tract 1401.07,0.0,32.0,0.0,4.0,8654.77194007512,0.4180971265290676,1.6094273032972153,0.26324135743736127,0.1649222962258167,0.029495718363463368,0.09438775510204081,0.9476394849785408
191,Census Tract 1402.01,0.3281,93500.0,489600.0,25,025,140201,Census Tract 1402.01,0.0,22.0,13.0,7.0,1051.1655676996575,0.3854705082572034,10.875404434157279,0.22297538351765964,0.2033535497681056,0.019265073135925792,0.07313592579379237,0.9481915933528837
192,Census Tract 1402.02,0.5171,86553.0,471500.0,25,025,140202,Census Tract 1402.02,0.0,56.0,2.0,14.0,25474.87668798734,0.44103523192099514,0.4716696142033679,0.22581611260856543,0.2168313866427074,0.04043126684636118,0.1091703056768559,0.9818264425261245
193,Census Tract 1403,0.3889,68472.0,422200.0,25,025,140300,Census Tract 1403,0.0,64.0,17.0,13.0,23265.667095602974,0.4421594959122778,2.4593862812225193,0.2201676200611946,0.262072635359851,0.11932951975522149,0.1661975606487066,0.9651567944250871
194,Census Tract 1404,0.4596,62910.0,381900.0,25,025,140400,Census Tract 1404,0.0,52.0,1.0,8.0,15149.810908105992,0.45806844787900797,0.0,0.19166406818418044,0.19997921214011016,0.038145722897827666,0.15546218487394958,0.9750788643533123
