,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
28,Census Tract 5016.01,0.4376,82770.0,836800.0,06,085,501601,Census Tract 5016.01,0.0,8.0,38.0,24.0,2791.28701501617,0.49086051058027536,1.547592055349729,0.19205931595312126,0.5541736426692179,0.016024874431954078,0.2243482420473571,0.9196366177498253
29,Census Tract 5016.02,0.4475,55550.0,872700.0,06,085,501602,Census Tract 5016.02,0.0,6.0,43.0,21.0,4952.768946831882,0.5323142954651565,3.6571875196194217,0.20226793248945146,0.5701476793248945,0.035864978902953586,0.30275229357798167,0.8992592592592593
30,Census Tract 5018,0.451,118203.0,930800.0,06,085,501800,Census Tract 5018,0.0,36.0,51.0,42.0,8209.768832222793,0.4934125482241994,6.6196677830553075,0.3003648155654641,0.26428860964734496,0.020267531414673693,0.04864207539521686,0.9738356881214024
31,Census Tract 5019.01,0.4494,150577.0,795900.0,06,085,501901,Census Tract 5019.01,0.0,18.0,82.0,5.0,1167.0502936437772,0.3954729760175364,14.041685522043053,0.6302367941712204,0.33697632058287796,0.002276867030965392,0.06602914389799636,0.9606299212598425
32,Census Tract 5019.02,0.3979,118246.0,757700.0,06,085,501902,Census Tract 5019.02,0.0,8.0,53.0,4.0,2718.2770549387883,0.437351272341304,4.3682600261252,0.4752781211372064,0.357849196538937,0.02657601977750309,0.010815822002472188,0.8642509464575446
33,Census Tract 5020.01,0.4119,102198.0,902800.0,06,085,502001,Census Tract 5020.01,1.0,36.0,117.0,75.0,5656.867573138137,0.4568462497864737,3.350822093322315,0.3020239732756927,0.2825702495578699,0.030261348005502064,0.06473829201101929,0.9085158150851581
34,Census Tract 5020.02,0.4558,84125.0,867900.0,06,085,502002,Census Tract 5020.02,0.0,8.0,48.0,25.0,3536.2953921524886,0.6036014119951565,2.2816795818730893,0.1936944491028006,0.2869361059869193,0.007378836156297166,0.11394529283436819,0.9611440906637885
35,Census Tract 5021.01,0.4276,112500.0,851300.0,06,085,502101,Census Tract 5021.01,0.0,30.0,22.0,18.0,7891.826010982439,0.37809429237061665,3.5998661056280548,0.4036541721604822,0.2908268977208514,0.01130156338293464,0.06297523883798012,0.928698752228164
36,Census Tract 5021.03,0.4969,68304.0,1002300.0,06,085,502103,Census Tract 5021.03,0.0,12.0,13.0,4.0,1598.0578329172413,0.4598337804435073,0.0,0.23700534759358288,0.3146524064171123,0.013475935828877005,0.20577540106951872,1.0
37,Census Tract 5021.04,0.4679,99009.0,868700.0,06,085,502104,Census Tract 5021.04,0.0,14.0,45.0,16.0,646.3253070905893,0.45696975480703594,0.0,0.3318106312292359,0.25249169435215946,0.02117940199335548,0.07275953859804792,0.9213592233009709
38,Census Tract 5022.02,0.4971,101071.0,893500.0,06,085,502202,Census Tract 5022.02,0.0,20.0,74.0,7.0,3177.6348466683557,0.41643132653450105,11.14954626011393,0.49107780157030695,0.2291220556745182,0.014989293361884369,0.05043281896876176,0.9366736256089074
39,Census Tract 5022.03,0.4405,117941.0,812000.0,06,085,502203,Census Tract 5022.03,0.0,10.0,25.0,7.0,3266.0760475772045,0.39107489750772745,3.3069041920081776,0.49145704793545325,0.33839582344565733,0.03274798291409587,0.11845861084681256,0.9749182115594329
41,Census Tract 5023.01,0.48,148274.0,1602500.0,06,085,502301,Census Tract 5023.01,0.0,22.0,84.0,18.0,1613.5069485704287,0.4339860055424504,10.665093719268587,0.48936170212765956,0.19148936170212766,0.02364066193853428,0.022505182114302635,0.9948224852071006
42,Census Tract 5023.02,0.4362,104777.0,1496400.0,06,085,502302,Census Tract 5023.02,0.0,20.0,16.0,12.0,6483.50518664324,0.5014536701847732,6.351665038802056,0.34875141884222477,0.24687854710556187,0.01844494892167991,0.03178206583427923,0.9832605531295487
43,Census Tract 5024,0.4596,132398.0,1298500.0,06,085,502400,Census Tract 5024,0.0,64.0,170.0,36.0,7814.132970930101,0.4393416290666729,6.246060396755605,0.5058172531214529,0.12429057888762769,0.0202894438138479,0.034551400540309966,0.983303730017762
44,Census Tract 5026.01,0.501,122405.0,1340100.0,06,085,502601,Census Tract 5026.01,0.0,22.0,49.0,7.0,2235.428101215553,0.46326239228619603,5.0149437970754045,0.42608960682718683,0.08899725693386162,0.03413593416641268,0.011631466176920723,0.9438990182328191
