,NAME,Income Diversity Index,Median Household Income,Median Household Value,state,county,tract,Tracts,Number of Hotels,Bus Stops,Point of Interests,Distance to Center,Airbnb penetration,Population Density,Race Diversity Index,Bohemian Index,Talent Index,Proportion of Young People,Unemployment Ratio,Poverty by Income Percentage,Proportion of Owner Occupied Residences
26,Census Tract 119.01,0.4925,137267.0,1453500.0,06,053,011901,Census Tract 119.01,2.0,4.0,27.0,1.0874948344674231,30.0,31304.140325581095,0.41792011686246694,6.932580737740112,0.49256028732683427,0.040533606977937404,0.014879425346331451,0.010327022375215147,0.5539473684210526
30,Census Tract 204.02,0.4162,94896.0,495800.0,06,061,020402,Census Tract 204.02,0.0,42.0,12.0,5.903983881973176,31.0,6284.491012671074,0.4838362861453994,1.1907778896245764,0.34294958209760046,0.08331086546238878,0.02480452952278242,0.043407926664869236,0.9353826850690088
32,Census Tract 302.02,0.5144,54375.0,412500.0,06,017,030202,Census Tract 302.02,0.0,28.0,280.0,6.608790948643022,16.0,6245.429234287899,0.5249265028832122,1.0007892226619777,0.12398921832884097,0.22192273135669363,0.03998203054806829,0.12982929020664868,0.5926928281461434
34,Census Tract 226,0.365,92639.0,463900.0,06,061,022600,Census Tract 226,0.0,34.0,86.0,4.255264392147274,18.0,2707.828414292706,0.4160331658429033,2.626204173753761,0.29809045226130654,0.24,0.028542713567839197,0.05516408294745319,0.949161159125572
40,Census Tract 251,0.4609,40417.0,82800.0,06,071,025100,Census Tract 251,0.0,26.0,27.0,5.7417593617646645,51.0,2643.192462966785,0.37823307986019,0.0,0.08361891706648389,0.10006854009595613,0.07059629883481837,0.2334710743801653,0.25055041831792163
45,Census Tract 206.02,0.4282,56978.0,454800.0,06,073,020602,Census Tract 206.02,0.0,14.0,2.0,4.78983693291931,27.0,24016.02846425682,0.5261726739616143,2.7014777392581184,0.12146844865504991,0.20757908983251566,0.022162070715614955,0.15727858839497794,0.9729458917835672
47,Census Tract 313.02,0.4652,42153.0,277700.0,06,017,031302,Census Tract 313.02,0.0,38.0,15.0,10.628959391933808,16.0,6534.491563884208,0.48945183647914875,1.621462797848523,0.16700156284885018,0.15025675373967404,0.014958696137530699,0.338468408126814,0.8726142920550377
49,Census Tract 232,0.3158,117917.0,434000.0,06,061,023200,Census Tract 232,0.0,48.0,21.0,7.718262607829619,21.0,6958.285077517052,0.4369849886984365,1.0187497851860678,0.21420177941917073,0.1645123384253819,0.014604666778579823,0.033176153587066354,0.9873563218390805
51,Census Tract 233,0.345,140604.0,433700.0,06,061,023300,Census Tract 233,0.0,30.0,17.0,7.82839422382874,4.0,9879.752242739438,0.4077846742280197,3.978799379904692,0.2521989445066368,0.16184231568846955,0.01567247721093875,0.03217029449423816,0.9882063882063882
53,Census Tract 234,0.3399,94894.0,435700.0,06,061,023400,Census Tract 234,0.0,28.0,25.0,8.33748691048699,10.0,6761.3363816370065,0.46150755165213714,2.589337778270264,0.19865494050698396,0.17675461286428695,0.01189860320744956,0.08691153647180548,0.9966722129783694
55,Census Tract 314.01,0.3877,55722.0,340300.0,06,065,031401,Census Tract 314.01,0.0,22.0,6.0,10.262704470160577,8.0,22964.01342765448,0.5614659655252066,3.0348728368233826,0.09225678358702846,0.24460622104566512,0.039311714096624754,0.13782439155573484,0.9548627268496975
57,Census Tract 314.02,0.4176,63888.0,344400.0,06,065,031402,Census Tract 314.02,0.0,14.0,11.0,9.949449046875062,10.0,19316.191081908495,0.49347245462654216,2.9913699842204164,0.07276141297969722,0.2286116652975003,0.02769627977936862,0.1331789935420982,0.9651416122004357
59,Census Tract 106,0.5568,65703.0,826900.0,06,075,010600,Census Tract 106,7.0,34.0,241.0,0.563646527504424,40.0,18309.2924508756,0.3802412151883792,8.254306411103649,0.4060128429655575,0.3514302393461763,0.07355516637478109,0.14827787507297138,0.8351903435468895
63,Census Tract 122.04,0.5213,56386.0,612900.0,06,075,012204,Census Tract 122.04,1.0,6.0,46.0,1.4960195273566534,28.0,57320.346175288985,0.4192835381234782,7.815102518771447,0.4785903751420993,0.4444865479348238,0.0162940507768094,0.11405835543766578,0.8603696098562629
64,Census Tract 305,0.4874,145781.0,1189500.0,06,075,030500,Census Tract 305,0.0,40.0,6.0,6.448503939218685,13.0,3179.4481600938766,0.3685675103728823,5.926504389598606,0.41456582633053224,0.1123249299719888,0.00784313725490196,0.1268368136117556,0.9505597014925373
65,Census Tract 306,0.426,201833.0,1660900.0,06,075,030600,Census Tract 306,0.0,46.0,26.0,7.374463411222917,13.0,4866.276055591274,0.37880111214281775,9.730888066775835,0.551044540796216,0.12534489554592038,0.03389830508474576,0.024832479306267245,0.9848812095032398
66,Census Tract 312.01,0.4198,85651.0,920400.0,06,075,031201,Census Tract 312.01,0.0,32.0,30.0,9.400576560122259,18.0,13705.329084173303,0.4234639397677545,4.028021219161252,0.24597864768683275,0.2485409252669039,0.032455516014234874,0.07336956521739131,0.9768041237113402
67,Census Tract 312.02,0.4336,108438.0,959900.0,06,075,031202,Census Tract 312.02,0.0,24.0,2.0,9.44184100274445,16.0,10690.324831625396,0.4088292635668508,4.3190264974625725,0.23895946763460374,0.1896551724137931,0.015124016938898971,0.0767590618336887,0.9468822170900693
68,Census Tract 326.01,0.4126,113472.0,1108300.0,06,075,032601,Census Tract 326.01,0.0,30.0,189.0,7.654788685443399,53.0,12446.845150111736,0.37898230395958615,7.886431894213062,0.4311008468052348,0.32967667436489606,0.018860662047729022,0.11778290993071594,0.9644970414201184
69,Census Tract 326.02,0.4403,121250.0,1275400.0,06,075,032602,Census Tract 326.02,0.0,14.0,19.0,7.980765253970941,22.0,9827.15671032565,0.37267006560279303,7.922544190060613,0.48069872762562,0.2663359930989864,0.035367694630148806,0.06038386888074186,0.9605970149253731
70,Census Tract 327,0.4347,133490.0,1163700.0,06,075,032700,Census Tract 327,0.0,16.0,44.0,8.571974351152146,32.0,8578.046484417342,0.36794118747666976,5.799097953017037,0.4665838166252416,0.20822977078155205,0.027064346865506766,0.048053024026512015,0.9473490427098674
